Time,Text
12/19/2025 0:46,Call to place market order to buy 13 units of symbol DELTAIN:BTCUSD.P 
12/19/2025 0:46,Order 2574650773 successfully placed
12/19/2025 0:46,Modify position for symbol DELTAIN:BTCUSD.P with SL 85675.5
12/19/2025 0:46,Order 2574650165 for symbol DELTAIN:BTCUSD.P has been executed at price 85558.5 for 13 units
12/19/2025 0:46,Order 2574650165 successfully placed
12/19/2025 0:46,Call to place market order to sell 13 units of symbol DELTAIN:BTCUSD.P 
12/19/2025 0:43,Order 2574641327 for symbol DELTAIN:BTCUSD.P has been executed at price 85625.5 for 13 units
12/19/2025 0:43,Order 2574641327 successfully placed
12/19/2025 0:43,Order 2574604323 successfully cancelled
12/19/2025 0:43,Order 2574604322 successfully cancelled
12/19/2025 0:43,Call to place market order to buy 13 units of symbol DELTAIN:BTCUSD.P 
12/19/2025 0:38,Order 2574604323 modification confirmed
12/19/2025 0:38,Order 2574604322 modification confirmed
12/19/2025 0:38,Modify position for symbol DELTAIN:BTCUSD.P with SL 85873.5 and TP 85428.2
12/19/2025 0:38,Order 2574604323 modification confirmed
12/19/2025 0:38,Order 2574604322 modification confirmed
12/19/2025 0:38,Modify position for symbol DELTAIN:BTCUSD.P with SL 85873.5 and TP 85196.6
12/19/2025 0:37,Order 2574611208 for symbol BLACKBULL:US30 has been executed at price 48020.00 for 4 units
12/19/2025 0:37,Order 2574611209 successfully cancelled
12/19/2025 0:35,Order 2574604323 modification confirmed
12/19/2025 0:35,Order 2574604322 modification confirmed
12/19/2025 0:35,Modify position for symbol DELTAIN:BTCUSD.P with SL 85962.6 and TP 85196.6
12/19/2025 0:35,Order 2574604323 modification confirmed
12/19/2025 0:35,Order 2574604322 modification confirmed
12/19/2025 0:35,Modify position for symbol DELTAIN:BTCUSD.P with SL 85811.2 and TP 85196.6
12/19/2025 0:35,Order 2574604323 modification confirmed
12/19/2025 0:35,Order 2574604322 modification confirmed
12/19/2025 0:35,Modify position for symbol DELTAIN:BTCUSD.P with SL 85811.2 and TP 85033.6
12/19/2025 0:34,Order 2574611209 successfully placed
12/19/2025 0:34,Order 2574611208 successfully placed
12/19/2025 0:34,Modify position for symbol BLACKBULL:US30 with SL 48014.24 and TP 47917.45
12/19/2025 0:34,Order 2574610348 for symbol BLACKBULL:US30 has been executed at price 47976.00 for 4 units
12/19/2025 0:34,Order 2574610348 successfully placed
12/19/2025 0:34,Call to place market order to sell 4 units of symbol BLACKBULL:US30 
12/19/2025 0:34,Failed to execute order 2574609995; reason: insufficient funds
12/19/2025 0:34,Order 2574609995 successfully placed
12/19/2025 0:34,Call to place market order to sell 5 units of symbol BLACKBULL:US30 
12/19/2025 0:32,Order 2574604323 successfully placed
12/19/2025 0:32,Order 2574604322 successfully placed
12/19/2025 0:32,Modify position for symbol DELTAIN:BTCUSD.P with SL 85978.1 and TP 85033.6
